keep,title,author,region,filename
Y,“活在当下”指南,萨姆·哈里斯,W,_Huo Zai Dang Xia _Zhi Nan (She - Sa Mu _Ha Li Si
Y,逃避自由,E.弗洛姆,W,逃避自由 - [美]E.弗洛姆
Y,与神对话,尼尔·唐纳德·沃尔什,W,与神对话(全5卷）
Y,中西文化的精神分野：传统与更新,赵林,E,中西文化的精神分野
Y,僧侣与哲学家,让-弗朗索瓦何维勒/马修理查德,W,僧侣与哲学家
Y,存在主义是一种人道主义,让-保罗·萨特,W,译文经典·存在主义是一种人道主义
Y,庄子说什么,韩鹏杰,E,庄子说什么
Y,知行合一王阳明大全集,度阴山,E,知行合一王阳明大全集(套装共5册）
Y,知行合一王阳明：心学日课21天,度阴山,E,知行合一王阳明：心学日课21天
Y,禅与摩托车维修艺术,罗伯特·m·波西格,W,禅与摩托车维修艺术
Y,南怀瑾经典合集,南怀瑾,E,南怀瑾经典合集（共24册）
Y,正义之心：为什么人们总是坚持“我对你错”,乔纳森·海特,W,正义之心：为什么人们总是坚持“我对你错”
Y,笛卡尔的错误：情绪、推理和大脑,安东尼奥·达马西奥,W,笛卡尔的错误
Y,中国哲学十九讲,牟宗三,E,中国哲学十九讲
Y,企鹅哲学史,A.C.格雷林,W,企鹅哲学史 -A.C.格雷林
Y,"洞见：从科学到哲学,打开人类的认知真相",罗伯特·赖特,W,洞见：从科学到哲学，打开人类的认知真相
Y,知觉的世界——论哲学、文学与艺术,莫里斯·梅洛-庞蒂,W,知觉的世界_莫里斯·梅洛_庞蒂
N,和狗狗的十二次哲学漫步（12次遛狗，12个哲思时刻！一本真正的西方哲学入门书，跟着《云雀》作者麦高恩聊着天、遛着弯儿，学习生活的本质） (未读·思想家),安东尼·麦高恩,W,和狗狗的十二次哲学漫步(1)
Y,和狗狗的十二次哲学漫步,安东尼·麦高恩,W,和狗狗的十二次哲学漫步
Y,哲学的底色：人类永恒追求的六大哲学主题,莫提默 · 艾德勒,W,哲学的底色：人类永恒追求的六大哲学主题
Y,织梦人——一个男孩穿越现实的哲学之旅,杰克·鲍温,W,织梦人——一个男孩穿越现实的哲学之旅（妙趣横生的通识读本）
Y,哲学的快乐：干瘪的思考vs.激情的生活,罗伯特·所罗门,W,哲学的快乐：干瘪的思考vs.激情的生活
N,中国哲学简史,冯友兰,,中国哲学简史-冯友兰
